Date,Deaths
01/03/2020,0
02/03/2020,0
03/03/2020,0
04/03/2020,0
05/03/2020,1
06/03/2020,1
07/03/2020,0
08/03/2020,1
09/03/2020,1
10/03/2020,2
11/03/2020,2
12/03/2020,0
13/03/2020,0
14/03/2020,13
15/03/2020,0
16/03/2020,35
17/03/2020,0
18/03/2020,16
19/03/2020,66
20/03/2020,40
21/03/2020,56
22/03/2020,48
23/03/2020,54
24/03/2020,87
25/03/2020,43
26/03/2020,114
27/03/2020,181
28/03/2020,260
29/03/2020,210
30/03/2020,180
31/03/2020,382
01/04/2020,564
02/04/2020,569
03/04/2020,685
04/04/2020,709
05/04/2020,623
